V(V): 0.0005	Step NA->	0	0
Time(s):	Sweep V(V):	Ch1 I(A):	Ch1 I(A):
3.031000E+1	3.343000E+0	1.309210E-12	1.736150E-12
3.041000E+1	3.344000E+0	1.483770E-12	1.971700E-12
3.049700E+1	3.345000E+0	1.853920E-12	2.207250E-12
3.058300E+1	3.346000E+0	2.334490E-12	2.625780E-12
3.066900E+1	3.347000E+0	2.429130E-12	3.087420E-12
3.075500E+1	3.348000E+0	2.723570E-12	3.501740E-12
3.084100E+1	3.349000E+0	3.141050E-12	3.969690E-12
3.093000E+1	3.350000E+0	3.524870E-12	4.270440E-12
3.101600E+1	3.351000E+0	3.873990E-12	4.574340E-12
3.110300E+1	3.352000E+0	4.467080E-12	5.041240E-12
3.119100E+1	3.353000E+0	4.779400E-12	5.538630E-12
3.128800E+1	3.354000E+0	5.269430E-12	5.868830E-12
3.138800E+1	3.355000E+0	5.867780E-12	6.131720E-12
3.148100E+1	3.356000E+0	6.268430E-12	6.324160E-12
3.156700E+1	3.357000E+0	6.543940E-12	6.496620E-12
3.165500E+1	3.358000E+0	6.533420E-12	6.603880E-12
3.175500E+1	3.359000E+0	6.745840E-12	6.786850E-12
3.184700E+1	3.360000E+0	6.743741E-12	6.656460E-12
3.193500E+1	3.361000E+0	6.745840E-12	6.614390E-12
3.202300E+1	3.362000E+0	6.705880E-12	6.666970E-12
3.211100E+1	3.363000E+0	6.634370E-12	6.519750E-12
3.219700E+1	3.364000E+0	6.489260E-12	6.207430E-12
3.228300E+1	3.365000E+0	6.430371E-12	5.983450E-12
3.236900E+1	3.366000E+0	6.104380E-12	5.736330E-12
3.245800E+1	3.367000E+0	5.710040E-12	5.479750E-12
3.254400E+1	3.368000E+0	5.282050E-12	4.967630E-12
3.263000E+1	3.369000E+0	4.846700E-12	4.637440E-12
3.271800E+1	3.370000E+0	4.319860E-12	4.036990E-12
3.280600E+1	3.371000E+0	3.560630E-12	3.645800E-12
3.289200E+1	3.372000E+0	3.136840E-12	3.167340E-12
3.297800E+1	3.373000E+0	2.892880E-12	2.734090E-12
3.306400E+1	3.374000E+0	2.345010E-12	1.946460E-12
3.315100E+1	3.375000E+0	1.934890E-12	1.618370E-12
3.323800E+1	3.376000E+0	1.521630E-12	1.249270E-12
3.332500E+1	3.377000E+0	1.254530E-12	8.370500E-13
3.341100E+1	3.378000E+0	1.008460E-12	6.109600E-13
3.349900E+1	3.379000E+0	8.212800E-13	4.973900E-13
3.358600E+1	3.380000E+0	6.929900E-13	2.450200E-13
3.368000E+1	3.381000E+0	5.867800E-13	1.735100E-13
3.376600E+1	3.382000E+0	4.605900E-13	8.728000E-14
3.385200E+1	3.383000E+0	3.953900E-13	9.460000E-15
3.394100E+1	3.384000E+0	3.890800E-13	-3.155000E-14
3.403100E+1	3.385000E+0	3.512300E-13	-4.522000E-14
3.411700E+1	3.386000E+0	2.797200E-13	-5.363000E-14
3.421800E+1	3.387000E+0	2.313500E-13	-8.833000E-14
3.431300E+1	3.388000E+0	2.713100E-13	-7.782000E-14
3.439900E+1	3.389000E+0	2.355500E-13	-1.009500E-13
3.449400E+1	3.390000E+0	2.187300E-13	-1.282900E-13
3.458400E+1	3.391000E+0	2.439600E-13	-9.254000E-14
3.467100E+1	3.392000E+0	2.061100E-13	-1.451200E-13
3.475700E+1	3.393000E+0	1.955900E-13	-1.714100E-13
3.484300E+1	3.394000E+0	2.481700E-13	-1.062100E-13
3.492900E+1	3.395000E+0	2.082100E-13	-1.240900E-13
3.501500E+1	3.396000E+0	2.040100E-13	-1.619400E-13
3.510200E+1	3.397000E+0	2.439600E-13	-1.209300E-13
3.518800E+1	3.398000E+0	2.166200E-13	-1.325000E-13
3.527400E+1	3.399000E+0	1.850800E-13	-1.640500E-13
3.536000E+1	3.400000E+0	2.523800E-13	-1.209300E-13
3.544600E+1	3.401000E+0	1.871800E-13	-1.346000E-13
3.553100E+1	3.402000E+0	2.187300E-13	-1.535300E-13
3.561700E+1	3.403000E+0	2.481700E-13	-9.990001E-14
3.570300E+1	3.404000E+0	2.292400E-13	-9.044000E-14
3.578900E+1	3.405000E+0	2.481700E-13	-1.251400E-13
3.587500E+1	3.406000E+0	2.250400E-13	-1.556300E-13
3.596100E+1	3.407000E+0	2.586900E-13	-9.254000E-14
3.604700E+1	3.408000E+0	2.460700E-13	-1.209300E-13
3.613400E+1	3.409000E+0	2.313500E-13	-1.577400E-13
3.622100E+1	3.410000E+0	2.902300E-13	-1.104200E-13
3.630800E+1	3.411000E+0	2.376600E-13	-1.030500E-13
3.639400E+1	3.412000E+0	2.397600E-13	-1.409100E-13
3.648000E+1	3.413000E+0	2.565800E-13	-9.674000E-14
3.656600E+1	3.414000E+0	2.334500E-13	-1.051600E-13
3.666000E+1	3.415000E+0	1.955900E-13	-1.177800E-13
3.674600E+1	3.416000E+0	2.797200E-13	-7.992000E-14
3.683600E+1	3.417000E+0	2.313500E-13	-8.833000E-14
3.692200E+1	3.418000E+0	2.418600E-13	-1.167200E-13
3.700900E+1	3.419000E+0	2.902300E-13	-6.520000E-14
3.709500E+1	3.420000E+0	2.671000E-13	-7.992000E-14
3.719100E+1	3.421000E+0	2.607900E-13	-7.782000E-14
3.728000E+1	3.422000E+0	3.070600E-13	1.052000E-14
3.736600E+1	3.423000E+0	3.301900E-13	4.732000E-14
3.745200E+1	3.424000E+0	3.596400E-13	7.782000E-14
